MONITORAMENTO MÉTODO EVENTOS RAROS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
JOGOS," R$  2.829,12 ", LUCRO/PREJUIZO,DETALHES,ACUMULADO,,,,,,,,,,,,
Palmeiras x Boca Juniors : Resultado Final,5-out.,"-R$  26,50 ",,,,,,,,,,,,,,
" Leverkusen x FC Koln : Mais/Menos de 3,5 Gols",8-out.,"-R$  1,06 ",,"-R$  1,06 ",,,,,,,,,,,,
" Arsenal x Manchester City : Mais/Menos de 2,5 Gols",8-out.,"-R$  16,00 ",,"-R$  17,06 ",,,,,,,,,,,,
"Sport Recife x Ponte Preta : Mais/Menos de 1,5 Gols",09-out-," R$  34,67 ",," R$  17,61 ",,,,,,,,,,,,
"Heilongjiang Lava Spring x Yanbian Longding : Mais/Menos de 1,5 Gols",10-out-,"-R$  53,79 ",,"-R$  36,18 ",,,,,,,,,,,,
" Mansfield x Doncaster : Mais/Menos de 2,5 Gols",10-out-," R$  63,62 ",," R$  27,44 ",,,,,,,,,,,,
" San Lorenzo x San Martin De San Juan : Mais/Menos de 1,5 Gols",10-out-," R$  29,51 ",," R$  56,95 ",,,,,,,,,,,,
" Belgrano x Boca Juniors : Mais/Menos de 1,5 Gols",10-out-," R$  75,17 ",," R$  132,12 ",,,,,,,,,,,,
" Belgrano x Boca Juniors : Mais/Menos de 2,5 Gols",10-out-," R$  67,34 ",," R$  199,46 ",,,,,,,,,,,,
" Belgrano x Boca Juniors : Mais/Menos de 3,5 Gols",10-out-," R$  96,49 ",," R$  295,95 ",,,,,,,,,,,,
" ABC RN x Mirassol : Mais/Menos de 1,5 Gols",10-out-," R$  267,41 ",," R$  563,36 ",,,,,,,,,,,,
" Vila Nova x Botafogo SP : Mais/Menos de 1,5 Gols",11-out-," R$  170,39 ",," R$  733,75 ",,,,,,,,,,,,
" Espanha x Escócia : Mais/Menos de 1,5 Gols",12-out.," R$  74,80 ",," R$  808,55 ",,,,,,,,,,,,
" Colômbia x Uruguai : Mais/Menos de 1,5 Gols",12-out.," R$  75,73 ",," R$  884,28 ",,,,,,,,,,,,
" Colômbia x Uruguai : Mais/Menos de 2,5 Gols",12-out.," R$  138,38 ",," R$  1.022,66 ",,,,,,,,,,,,
"Argentina x Paraguai : Mais/Menos de 1,5 Gols",12-out.," R$  25,86 ",," R$  1.048,52 ",,,,,,,,,,,,
" Holanda x França : Mais/Menos de 1,5 Gols",13-out.," R$  164,66 ",," R$  1.213,18 ",,,,,,,,,,,,
" Criciuma x Chapecoense : Mais/Menos de 1,5 Gols",13-out.," R$  164,25 ",," R$  1.377,43 ",,,,,,,,,,,,
" Ucrânia x Macedônia do Norte : Mais/Menos de 1,5 Gols",14-out.," R$  110,56 ",," R$  1.487,99 ",,,,,,,,,,,,
"Georgia x Chipre : Mais/Menos de 1,5 Gols",15-out.," R$  187,00 ",," R$  1.674,99 ",,,,,,,,,,,,
"Noruega x Espanha : Mais/Menos de 1,5 Gols",15-out.,"-R$  110,00 ",," R$  1.564,99 ",,,,,,,,,,,,
"Vitória x Guarani : Mais/Menos de 1,5 Gols",15-out.," R$  285,00 ",," R$  1.849,99 ",,,,,,,,,,,,
" Grécia x Holanda : Mais/Menos de 1,5 Gols",16-out.,"-R$  655,76 ",," R$  1.194,23 ",,,,,,,,,,,,
" Juventude x Sport Recife : Mais/Menos de 1,5 Gols",16-out.," R$  192,98 ",," R$  1.387,21 ",,,,,,,,,,,,
"Juventude x Sport Recife : Mais/Menos de 2,5 Gols",16-out.," R$  266,11 ",," R$  1.653,32 ",,,,,,,,,,,,
" Japão x Tunísia : Mais/Menos de 1,5 Gols",17-out.," R$  246,84 ",," R$  1.900,16 ",,,,,,,,,,,,
" Finlândia x Cazaquistão : Mais/Menos de 1,5 Gols",17-out.," R$  64,50 ",," R$  1.964,66 ",,,,,,,,,,,,
" Inglaterra x Itália : Mais/Menos de 1,5 Gols",17-out.," R$  395,06 ",," R$  2.359,72 ",,,,,,,,,,,,
"Cerro Largo FC x La Luz FC : Mais/Menos de 1,5 Gols",18-out.," R$  77,14 ",," R$  2.436,86 ",,,,,,,,,,,,
"Grêmio x Athletico-PR : Mais/Menos de 1,5 Gols",18-out.," R$  72,93 ",," R$  2.509,79 ",,,,,,,,,,,,
" América-MG x Botafogo : Mais/Menos de 1,5 Gols",18-out.," R$  289,56 ",," R$  2.799,35 ",,,,,,,,,,,,
" Deportivo Maldonado x River Plate (Uru) : Mais/Menos de 1,5 Gols",19-out.,"-R$  200,00 ",," R$  2.599,35 ",,,,,,,,,,,,
" Hansa Rostock II x Greifswalder SV 04 : Mais/Menos de 2,5 Gols",19-out.," R$  1,27 ",," R$  2.600,62 ",,,,,,,,,,,,
"Gimnasia La Plata x Argentinos Juniors : Mais/Menos de 1,5 Gols",19-out.," R$  119,68 ",," R$  2.720,30 ",,,,,,,,,,,,
" Gimnasia La Plata x Argentinos Juniors : Mais/Menos de 2,5 Gols",19-out.," R$  283,34 ",," R$  3.003,64 ",,,,,,,,,,,,
" Cruzeiro x Flamengo : Mais/Menos de 1,5 Gols",19-out.," R$  198,22 ",," R$  3.201,86 ",,,,,,,,,,,,
" Fluminense x Corinthians : Mais/Menos de 1,5 Gols",19-out.," R$  78,61 ",," R$  3.280,47 ",,,,,,,,,,,,
" Tombense MG x Vila Nova : Mais/Menos de 1,5 Gols",19-out.," R$  1,82 ",," R$  3.282,29 ",,,,,,,,,,,,
" Adelaide United x Central Coast Mariners : Mais/Menos de 1,5 Gols",20-out.," R$  52,28 ",," R$  3.334,57 ",,,,,,,,,,,,
" Kawasaki x Fukuoka : Mais/Menos de 1,5 Gols",20-out.," R$  230,01 ",," R$  3.564,58 ",,,,,,,,,,,,
"Olympiacos B x Panathinaikos B : Mais/Menos de 1,5 Gols",20-out.," R$  68,56 ",," R$  3.633,14 ",,,,,,,,,,,,
"Mirassol x Guarani : Mais/Menos de 1,5 Gols",20-out.,"-R$  645,74 ",," R$  2.987,40 ",,,,,,,,,,,,
" Sydney FC x Melbourne Victory : Mais/Menos de 0,5 Gols",21-out.," R$  24,24 ",," R$  3.011,64 ",,,,,,,,,,,,
" Chungnam Asan x Busan IPark : Mais/Menos de 3,5 Gols",21-out.,"-R$  61,92 ",," R$  2.949,72 ",,,,,,,,,,,,
"Hamburger SV x Greuther Furth : Mais/Menos de 3,5 Gols",21-out.,"-R$  28,89 ",," R$  2.920,83 ",,,,,,,,,,,,
"Liverpool x Everton : Mais/Menos de 1,5 Gols",21-out.,"-R$  4,42 ",," R$  2.916,41 ",,,,,,,,,,,,
"Verona x Napoli : Mais/Menos de 4,5 Gols",21-out.,"-R$  43,00 ",," R$  2.873,41 ",,,,,,,,,,,,
" Manchester City x Liverpool : Mais/Menos de 3,5 Gols",25-out.,"-R$  17,79 ",," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,PERCENTUAL DE LUCRO SOBRE A BANCA,,,,,,,,,,"0,00"
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,